id,web_name,team,team_name,position,total_points,goals_scored,assists,bonus,clean_sheets,minutes,draft_rank,selected_by_percent,now_cost
548,Mundle,17,SUN,MID,14,0,0,0,0,399,361,0.0,4.9
549,Neil,17,SUN,MID,3,0,0,0,0,13,367,0.0,4.8
550,Poveda,17,SUN,MID,0,0,0,0,0,0,384,0.0,4.7
551,Rigg,17,SUN,MID,36,1,1,1,3,758,328,0.1,4.7
552,Sadiki,17,SUN,MID,80,0,2,0,9,2891,350,0.1,4.9
553,Talbi,17,SUN,MID,83,4,2,6,7,1553,314,0.2,4.9
554,Ba,17,SUN,MID,0,0,0,0,0,0,546,0.3,4.3
555,Browne,17,SUN,MID,0,0,0,0,0,0,605,0.0,4.5
556,Ekwah,17,SUN,MID,0,0,0,0,0,0,621,0.0,4.5
557,H.Jones,17,SUN,MID,0,0,0,0,0,0,624,0.1,4.3
558,Matete,17,SUN,MID,0,0,0,0,0,0,571,0.2,4.3
559,Triantis,17,SUN,MID,0,0,0,0,0,0,609,0.0,4.4
560,Isidor,17,SUN,FWD,74,6,1,7,4,1148,187,1.3,5.0
561,Mayenda,17,SUN,FWD,40,2,0,5,3,751,176,0.5,5.1
562,Abdullahi,17,SUN,FWD,0,0,0,0,0,0,499,0.4,4.2
563,Luís Hemir,17,SUN,FWD,0,0,0,0,0,0,543,0.1,4.4
564,Rusyn,17,SUN,FWD,0,0,0,0,0,0,532,0.1,4.4
565,Vicario,18,TOT,GKP,90,0,0,6,7,2790,264,4.7,4.7
566,Austin,18,TOT,GKP,0,0,0,0,0,0,774,0.3,3.9
567,Kinsky,18,TOT,GKP,20,0,0,0,2,630,712,1.9,3.9
568,Pedro Porro,18,TOT,DEF,117,1,3,8,9,2793,144,11.7,5.2
569,Romero,18,TOT,DEF,91,4,1,10,5,1869,272,2.9,5.0
570,Danso,18,TOT,DEF,63,0,0,1,4,1489,596,0.2,4.2
571,Davies,18,TOT,DEF,10,1,0,1,0,136,617,0.1,4.3
572,Dragusin,18,TOT,DEF,17,0,0,0,0,515,673,0.0,4.5
573,Spence,18,TOT,DEF,78,0,0,3,9,2049,526,0.9,4.1
574,Udogie,18,TOT,DEF,29,0,1,1,1,1335,479,0.3,4.3
575,Van de Ven,18,TOT,DEF,116,4,1,10,9,3041,473,17.6,4.4
576,Phillips,18,TOT,DEF,0,0,0,0,0,0,739,0.0,4.0
577,Takai,18,TOT,DEF,0,0,0,0,0,0,757,0.0,4.0
578,Vuskovic,18,TOT,DEF,0,0,0,0,0,0,715,0.3,3.9
579,Son,18,TOT,MID,0,0,0,0,0,0,12,0.1,8.5
580,Johnson,8,CRY,MID,65,2,1,2,6,1710,35,2.4,6.5
581,Maddison,18,TOT,MID,3,0,0,0,0,34,39,0.3,6.8
582,Kudus,18,TOT,MID,75,2,6,7,7,1535,47,9.1,6.4
583,Kulusevski,18,TOT,MID,0,0,0,0,0,0,81,0.0,6.4
584,Tel,18,TOT,MID,78,4,2,7,3,1334,74,0.5,6.2
585,Bentancur,18,TOT,MID,86,1,1,4,8,1880,221,0.2,5.2
586,Bergvall,18,TOT,MID,49,1,3,0,3,955,203,0.2,5.2
587,Bissouma,18,TOT,MID,17,0,0,0,1,600,215,0.0,5.2
588,Odobert,18,TOT,MID,46,0,2,6,2,972,234,0.0,5.3
589,Solomon,18,TOT,MID,0,0,0,0,0,0,230,0.0,5.4
590,Bryan,18,TOT,MID,0,0,0,0,0,0,369,0.0,4.9
591,Gray,18,TOT,MID,61,2,2,6,5,1471,312,0.1,4.8
592,Moore,18,TOT,MID,0,0,0,0,0,0,357,0.0,5.0
