league_code,date_added,gameweek,short_name,kind,result,index,priority,position,element_in,player_in,element_out,player_out,player_in_points_scored_in_week,player_out_points_scored_in_week,net_points_of_transfer_in_week,abs_net_trade,transfer_category
Conf,2026-04-17 09:49:48.933801+00:00,33,AC,waiver,unsuccessful - player in already been picked up,22.0,4.0,MID,417,Cherki (13),386,Mac Allister (1),13,1,12,12,waiver - unsuccessful - player in already been picked up
Conf,2025-08-21 17:58:05.818962+00:00,2,AC,waiver,successful,4.0,1.0,DEF,7,Calafiori (13),8,J.Timber (24),13,24,-11,11,waiver - successful
Conf,2025-08-29 10:09:29.089042+00:00,3,IR,free agent,successful,,,DEF,257,Lacroix (11),233,Acheampong (0),11,0,11,11,free agent - successful
Conf,2025-12-21 19:46:51.440975+00:00,18,AC,waiver,successful,6.0,1.0,MID,390,Gravenberch (11),242,Dewsbury-Hall (0),11,0,11,11,waiver - successful
Conf,2026-01-29 20:44:52.917753+00:00,24,BP,waiver,unsuccessful - player out already gone,13.0,4.0,DEF,374,Konaté (11),568,Pedro Porro (0),11,0,11,11,waiver - unsuccessful - player out already gone
Conf,2026-02-03 15:27:47.243889+00:00,25,IR,waiver,successful,2.0,1.0,DEF,440,Dalot (12),531,Ballard (1),12,1,11,11,waiver - successful
Conf,2026-02-09 13:24:29.003446+00:00,26,IR,waiver,successful,1.0,1.0,DEF,371,Kerkez (0),683,Thiaw (11),0,11,-11,11,waiver - successful
Conf,2026-04-30 21:58:58.923530+00:00,35,CR,free agent,successful,,,DEF,402,Aït-Nouri (0),694,Mukiele (11),0,11,-11,11,free agent - successful
Conf,2025-10-17 09:36:16.183847+00:00,8,PV,waiver,successful,1.0,1.0,MID,236,Neto (12),200,Anthony (2),12,2,10,10,waiver - successful
Conf,2025-11-12 08:20:10.100995+00:00,12,CR,waiver,successful,4.0,1.0,MID,20,Trossard (12),582,Kudus (2),12,2,10,10,waiver - successful
Conf,2025-12-29 18:42:30.897665+00:00,19,CR,free agent,successful,,,MID,120,Schade (3),20,Trossard (13),3,13,-10,10,free agent - successful
Conf,2026-01-16 10:46:49.100284+00:00,22,CR,waiver,successful,10.0,3.0,GKP,101,Kelleher (1),220,Sánchez (11),1,11,-10,10,waiver - successful
Conf,2026-02-06 10:02:01.235531+00:00,25,IR,free agent,successful,,,MID,26,Zubimendi (10),485,Gordon (0),10,0,10,10,free agent - successful
Conf,2026-02-10 08:34:49.699171+00:00,26,PV,free agent,successful,,,MID,18,Madueke (13),157,Mitoma (3),13,3,10,10,free agent - successful
Conf,2026-04-10 10:43:30.558210+00:00,32,IR,free agent,successful,,,FWD,283,Mateta (12),596,Solanke (2),12,2,10,10,free agent - successful
Conf,2026-04-15 19:58:14.951417+00:00,33,PV,waiver,successful,3.0,1.0,MID,417,Cherki (13),83,O.Dango (3),13,3,10,10,waiver - successful
Conf,2026-04-17 21:53:50.189589+00:00,33,CR,free agent,successful,,,DEF,344,Bijol (10),442,Maguire (0),10,0,10,10,free agent - successful
Conf,2026-04-27 22:31:38.723246+00:00,35,CR,waiver,successful,5.0,1.0,DEF,72,Senesi (14),684,Alderete (4),14,4,10,10,waiver - successful
Conf,2025-08-14 16:10:45.943336+00:00,1,IR,waiver,successful,1.0,1.0,GKP,565,Vicario (9),32,Martinez (0),9,0,9,9,waiver - successful
Conf,2025-09-10 11:13:38.397777+00:00,4,PV,waiver,successful,10.0,2.0,DEF,374,Konaté (9),507,Aina (0),9,0,9,9,waiver - successful
Conf,2025-09-12 06:38:32.728336+00:00,4,HC,waiver,unsuccessful - player in already been picked up,3.0,1.0,FWD,715,Woltemade (9),596,Solanke (0),9,0,9,9,waiver - unsuccessful - player in already been picked up
Conf,2025-09-12 08:07:08.433911+00:00,4,CR,waiver,unsuccessful - player in already been picked up,15.0,4.0,FWD,715,Woltemade (9),654,Strand Larsen (0),9,0,9,9,waiver - unsuccessful - player in already been picked up
Conf,2025-11-20 18:47:55.353216+00:00,12,PV,waiver,successful,13.0,5.0,GKP,67,Petrović (1),287,Pickford (10),1,10,-9,9,waiver - successful
Conf,2025-12-05 14:27:17.118084+00:00,15,PV,free agent,successful,,,FWD,666,Ekitiké (13),671,Wilson (4),13,4,9,9,free agent - successful
Conf,2025-12-24 09:05:28.738620+00:00,18,IR,waiver,successful,2.0,1.0,FWD,337,Raúl (9),499,Isak (0),9,0,9,9,waiver - successful
Conf,2025-12-24 09:05:28.738670+00:00,18,IR,waiver,successful,7.0,2.0,DEF,371,Kerkez (2),575,Van de Ven (11),2,11,-9,9,waiver - successful
Conf,2026-01-24 09:41:28.353285+00:00,23,CR,free agent,successful,,,FWD,310,Barry (9),30,Havertz (0),9,0,9,9,free agent - successful
Conf,2026-04-17 14:21:08.346686+00:00,33,HC,free agent,successful,,,MID,84,Tavernier (9),593,P.M.Sarr (0),9,0,9,9,free agent - successful
Conf,2026-04-23 11:28:07.164845+00:00,34,CR,waiver,unsuccessful - player in already been picked up,10.0,2.0,DEF,720,Hincapie (9),74,Truffert (0),9,0,9,9,waiver - unsuccessful - player in already been picked up
Conf,2026-04-23 16:46:57.060024+00:00,34,HC,waiver,successful,1.0,1.0,DEF,720,Hincapie (9),77,Hill (0),9,0,9,9,waiver - successful
